examMgmtNo,emOpenSeq,금융기관명,제재조치일,관련부서,기관제재내용,임원제재내용,직원제재내용,첨부파일명,첨부파일URL
202000148,1,메르세데스벤츠파이낸셜서비스코리아㈜,20210218,디지털금융검사국,"문책(과태료 부과) 3건, 과태료 1,440만원",직원 제재대상,주의 1명,202000148_01_메르세데스벤츠파이낸셜서비스코리아_제재내용 공개안.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202000148_01_%EB%A9%94%EB%A5%B4%EC%84%B8%EB%8D%B0%EC%8A%A4%EB%B2%A4%EC%B8%A0%ED%8C%8C%EC%9D%B4%EB%82%B8%EC%85%9C%EC%84%9C%EB%B9%84%EC%8A%A4%EC%BD%94%EB%A6%AC%EC%95%84_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EA%B0%9C%EC%95%88.pdf
202000152,1,(주)에이닐에프앤피,20210218,디지털금융검사국,"문책(과태료부과) 3건, 과태료 2,400만원",퇴직자 위법·부당사항(주의상당) 1명,첨부파일,202000152_01_에이닐에프앤피_제재내용 공개안.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202000152_01_%EC%97%90%EC%9D%B4%EB%8B%90%EC%97%90%ED%94%84%EC%95%A4%ED%94%BC_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EA%B0%9C%EC%95%88.pdf
202000151,1,㈜동서아이티에스,20210218,디지털금융검사국,"문책(과태료부과) 2건, 과태료 2,400만원",직원 제재대상,주의 1명,202000151_01_동서아이티에스_제재내용 공개안.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202000151_01_%EB%8F%99%EC%84%9C%EC%95%84%EC%9D%B4%ED%8B%B0%EC%97%90%EC%8A%A4_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EA%B0%9C%EC%95%88.pdf
202000150,1,㈜13마일,20210218,디지털금융검사국,"문책(과태료부과) 1건, 과태료 960만원",퇴직자 위법·부당사항(주의상당) 1명,퇴직자 위법·부당사항(주의상당) 1명,202000150_01_13마일_제재내용 공개안.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202000150_01_13%EB%A7%88%EC%9D%BC_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EA%B0%9C%EC%95%88.pdf
202000149,1,구글페이먼트코리아 유한회사,20210218,디지털금융검사국,"문책(과태료부과) 1건, 과태료 480만원","주의 1명, 퇴직자 위법·부당사항(주의상당) 1명",첨부파일,202000149_01_구글페이먼트코리아_제재내용 공개안.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202000149_01_%EA%B5%AC%EA%B8%80%ED%8E%98%EC%9D%B4%EB%A8%BC%ED%8A%B8%EC%BD%94%EB%A6%AC%EC%95%84_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EA%B0%9C%EC%95%88.pdf
202000146,1,동양생명보험주식회사,20210113,IT·핀테크전략국,과태료 720만원,퇴직자 위법·부당사항(주의 상당) : 1명,첨부파일,202000146_01_동양생명 제재내용 공개안.hwp,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202000146_01_%EB%8F%99%EC%96%91%EC%83%9D%EB%AA%85+%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EA%B0%9C%EC%95%88.hwp
202000157,1,㈜핀크,20210106,IT·핀테크전략국,"문책(과태료부과) 1건, 과태료 480만원",직원 제재대상,주의 1명,202000157_01_핀크_제재내용 공개안.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=202000157_01_%ED%95%80%ED%81%AC_%EC%A0%9C%EC%9E%AC%EB%82%B4%EC%9A%A9+%EA%B3%B5%EA%B0%9C%EC%95%88.pdf
201900441,1,주식회사 파스타,20201230,핀테크혁신실,"기관주의, 과태료 140만원 부과",퇴직자 위법·부당사항(주의상당) 1명,첨부파일,201900441_01_㈜파스타.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=201900441_01_%E3%88%9C%ED%8C%8C%EC%8A%A4%ED%83%80.pdf
201900381,1,주식회사 웰스펀딩대부,20201230,핀테크혁신실,"기관주의, 과태료 40만원 부과",주의 1명,첨부파일,201900381_01_㈜웰스펀딩대부.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=201900381_01_%E3%88%9C%EC%9B%B0%EC%8A%A4%ED%8E%80%EB%94%A9%EB%8C%80%EB%B6%80.pdf
201900326,1,주식회사 아나리츠캐피탈대부,20201230,핀테크혁신실,"기관주의, 과태료 240만원 부과",주의 1명,첨부파일,201900326_01_㈜아나리츠캐피탈대부.pdf,https://www.fss.or.kr/fss.hpdownload?path=/dtm/opn/&file=201900326_01_%E3%88%9C%EC%95%84%EB%82%98%EB%A6%AC%EC%B8%A0%EC%BA%90%ED%94%BC%ED%83%88%EB%8C%80%EB%B6%80.pdf
